PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-6-21,28,23,18,17,16,14,87,71,54,1014,1013,1011,16,14,10,14,3,26,0.00,2,,263
2015-6-22,28,23,17,16,14,12,93,68,42,1014,1013,1012,16,16,13,13,2,23,0.00,0,,250
2015-6-23,29,23,17,16,14,12,90,66,42,1014,1012,1010,16,16,13,16,2,24,0.00,0,,0
2015-6-24,28,23,17,17,14,12,84,66,47,1012,1011,1011,16,16,13,19,2,29,0.00,0,,260
2015-6-25,27,22,17,17,16,13,93,72,51,1014,1013,1012,16,15,10,13,3,23,0.00,1,,268
2015-6-26,26,21,16,16,15,14,97,77,56,1015,1014,1013,16,11,4,16,3,21,0.00,5,,270
2015-6-27,25,21,17,16,15,14,90,75,60,1017,1014,1012,16,16,16,14,1,24,T,0,,293
2015-6-28,30,25,19,17,16,14,81,63,44,1013,1012,1010,16,16,16,14,2,23,T,0,,210
2015-6-29,33,27,20,18,16,13,73,57,41,1012,1011,1010,16,16,16,13,2,19,0.00,0,,90
2015-6-30,32,26,19,18,16,8,84,54,24,1013,1011,1008,16,16,16,19,1,32,T,0,Rain,270
2015-7-1,29,24,19,18,17,15,87,66,44,1014,1012,1010,16,16,13,13,2,21,0.00,0,,285
2015-7-2,28,23,18,17,17,16,81,64,47,1015,1014,1013,16,16,16,19,3,26,0.00,0,,270
2015-7-3,27,22,17,17,16,14,87,71,54,1014,1012,1010,16,15,8,14,2,26,0.00,3,,273
2015-7-4,26,22,17,16,15,14,90,72,54,1014,1012,1010,16,14,6,13,2,24,0.00,5,,-1
2015-7-5,24,21,18,16,15,14,84,72,60,1016,1014,1013,16,15,10,13,2,23,0.00,6,,-1
2015-7-6,24,21,18,16,16,15,84,74,64,1018,1016,1014,16,15,11,13,2,21,0.00,6,,-1
2015-7-7,25,22,18,16,16,15,84,72,60,1016,1014,1011,16,12,6,13,2,23,0.00,5,,280
2015-7-8,24,22,19,16,15,14,78,71,64,1012,1011,1009,16,16,11,13,3,23,0.00,7,,200
2015-7-9,24,21,18,16,14,12,84,67,49,1013,1012,1010,16,16,14,14,2,26,0.00,5,,270
2015-7-10,24,21,17,15,13,12,78,64,49,1014,1013,1012,16,16,16,19,4,27,0.00,0,,180
2015-7-11,26,22,17,16,15,14,90,71,52,1015,1014,1012,16,16,16,14,2,27,0.00,0,,270
2015-7-12,27,22,17,16,14,13,84,67,50,1015,1015,1013,16,16,16,14,2,26,0.00,0,,250
2015-7-13,29,23,18,17,15,13,81,64,47,1014,1013,1011,16,16,16,14,3,27,0.00,0,,191
2015-7-14,29,23,18,17,16,15,87,67,46,1012,1011,1010,16,15,11,14,3,23,0.00,2,,222
2015-7-15,27,23,18,16,15,14,87,66,45,1014,1012,1011,16,16,14,16,4,26,0.00,3,,164
2015-7-16,27,23,18,16,16,15,87,70,52,1014,1013,1011,16,16,16,16,3,26,0.00,3,,270
